Model,Type,Term,N_Tokens,Subwords,Has_UNK
e5-large,general,Prague,1,prague,False
e5-large,general,Repeat,1,repeat,False
e5-large,general,Robin,1,robin,False
e5-large,general,Rowley,2,row | ##ley,False
e5-large,general,Rumination,2,rum | ##ination,False
e5-large,general,Sciaenops,4,sci | ##ae | ##no | ##ps,False
e5-large,general,Simultaneous,1,simultaneous,False
e5-large,general,Solandra,2,sol | ##andra,False
e5-large,general,Tamarao,2,tamara | ##o,False
e5-large,general,Theatrical,1,theatrical,False
e5-large,general,Thromboembolus,6,th | ##rom | ##bo | ##em | ##bol | ##us,False
e5-large,general,Trinitrotoluene,6,tri | ##ni | ##tro | ##to | ##lu | ##ene,False
e5-large,general,Underexerted,3,under | ##ex | ##erted,False
e5-large,general,Ventriculopleural,5,vent | ##ric | ##ulo | ##ple | ##ural,False
GTE-Large,general,Actinobacillus,5,act | ##ino | ##ba | ##ci | ##llus,False
GTE-Large,general,Adenine,2,aden | ##ine,False
GTE-Large,general,Anisomelia,4,an | ##iso | ##mel | ##ia,False
GTE-Large,general,Anterograde,3,ant | ##ero | ##grade,False
GTE-Large,general,Antifungal,4,anti | ##fu | ##nga | ##l,False
GTE-Large,general,Armorhead,2,armor | ##head,False
GTE-Large,general,Banner,1,banner,False
GTE-Large,general,Boiron,3,bo | ##iro | ##n,False
GTE-Large,general,Bulrush,3,bu | ##lr | ##ush,False
GTE-Large,general,Calyptospora,5,cal | ##yp | ##tos | ##por | ##a,False
GTE-Large,general,Circinella,4,ci | ##rc | ##ine | ##lla,False
GTE-Large,general,Clupeotoxin,5,cl | ##up | ##eo | ##to | ##xin,False
GTE-Large,general,Colourful,1,colourful,False
GTE-Large,general,Corpus,1,corpus,False
GTE-Large,general,Cryptotomus,3,crypt | ##oto | ##mus,False
GTE-Large,general,Cyclamate,4,cy | ##cl | ##ama | ##te,False
GTE-Large,general,Epicauta,3,epic | ##au | ##ta,False
GTE-Large,general,Ethylnorgestrienone,7,et | ##hyl | ##nor | ##ges | ##tri | ##eno | ##ne,False
GTE-Large,general,Fibromuscular,4,fi | ##bro | ##mus | ##cular,False
GTE-Large,general,Framboesiform,4,fra | ##mbo | ##es | ##iform,False
GTE-Large,general,Glaucomatocyclitic,7,g | ##lau | ##com | ##ato | ##cy | ##cl | ##itic,False
GTE-Large,general,Haemoglobin,5,ha | ##em | ##og | ##lo | ##bin,False
GTE-Large,general,Healed,1,healed,False
GTE-Large,general,Hidradenitis,4,hid | ##rade | ##ni | ##tis,False
GTE-Large,general,Hyperactivity,3,hyper | ##act | ##ivity,False
